conj_verb	inf_verb	code	region	mood	gender	tense	person	sing_or_plural	haver_verb	anar_verb	pos_neg_cmd
actua	actuar	VMIP3S00	central	I	0	P	3	S			0
actua	actuar	VMM02S00	central	M	0	0	2	S			pos
actuant	actuar	VMG00000	central	G	0	0	0	0			0
actuar	actuar	VMN00000	central	N	0	0	0	0			0
actuara	actuar	VMSI1S03	central	S	0	I	1	S			0
actuara	actuar	VMSI3S03	central	S	0	I	3	S			0
actuaran	actuar	VMIF3P00	central	I	0	F	3	P			0
actuarem	actuar	VMIF1P00	central	I	0	F	1	P			0
actuaren	actuar	VMSI3P03	central	S	0	I	3	P			0
actuares	actuar	VMSI2S03	central	S	0	I	2	S			0
actuareu	actuar	VMIF2P00	central	I	0	F	2	P			0
actuaria	actuar	VMIC1S00	central	I	0	C	1	S			0
actuaria	actuar	VMIC3S00	central	I	0	C	3	S			0
actuarien	actuar	VMIC3P00	central	I	0	C	3	P			0
actuaries	actuar	VMIC2S00	central	I	0	C	2	S			0
actuarà	actuar	VMIF3S00	central	I	0	F	3	S			0
actuaràs	actuar	VMIF2S00	central	I	0	F	2	S			0
actuaré	actuar	VMIF1S00	central	I	0	F	1	S			0
actuaríem	actuar	VMIC1P00	central	I	0	C	1	P			0
actuaríeu	actuar	VMIC2P00	central	I	0	C	2	P			0
actuassin	actuar	VMSI3P04	central	S	0	I	3	P			0
actuassis	actuar	VMSI2S04	central	S	0	I	2	S			0
actuat	actuar	VMP00SM0	central	P	M	0	0	S			0
actuava	actuar	VMII1S00	central	I	0	I	1	S			0
actuava	actuar	VMII3S00	central	I	0	I	3	S			0
actuaven	actuar	VMII3P00	central	I	0	I	3	P			0
actuaves	actuar	VMII2S00	central	I	0	I	2	S			0
actuem	actuar	VMIP1P00	central	I	0	P	1	P			0
actuem	actuar	VMM01P00	central	M	0	0	1	P			pos
actuem	actuar	VMSP1P00	central	S	0	P	1	P			0
actuen	actuar	VMIP3P00	central	I	0	P	3	P			0
actues	actuar	VMIP2S00	central	I	0	P	2	S			0
actuessen	actuar	VMSI3P05	central	S	0	I	3	P			0
actuesses	actuar	VMSI2S05	central	S	0	I	2	S			0
actuessin	actuar	VMSI3P02	central	S	0	I	3	P			0
actuessis	actuar	VMSI2S02	central	S	0	I	2	S			0
actueu	actuar	VMIP2P00	central	I	0	P	2	P			0
actueu	actuar	VMM02P0X	central	M	0	0	2	P			pos
actueu	actuar	VMSP2P00	central	S	0	P	2	P			0
actuo	actuar	VMIP1S0C	central	I	0	P	1	S			0
actuàrem	actuar	VMSI1P03	central	S	0	I	1	P			0
actuàreu	actuar	VMSI2P03	central	S	0	I	2	P			0
actuàs	actuar	VMSI1S07	central	S	0	I	1	S			0
actuàs	actuar	VMSI3S07	central	S	0	I	3	S			0
actuàssim	actuar	VMSI1P04	central	S	0	I	1	P			0
actuàssiu	actuar	VMSI2P04	central	S	0	I	2	P			0
actuàvem	actuar	VMII1P00	central	I	0	I	1	P			0
actuàveu	actuar	VMII2P00	central	I	0	I	2	P			0
actués	actuar	VMSI1S01	central	S	0	I	1	S			0
actués	actuar	VMSI3S01	central	S	0	I	3	S			0
actuéssem	actuar	VMSI1P05	central	S	0	I	1	P			0
actuésseu	actuar	VMSI2P05	central	S	0	I	2	P			0
actuéssim	actuar	VMSI1P02	central	S	0	I	1	P			0
actuéssiu	actuar	VMSI2P02	central	S	0	I	2	P			0
actuï	actuar	VMM03S0Y	central	M	0	0	3	S			pos
actuï	actuar	VMSP1S0Y	central	S	0	P	1	S			0
actuï	actuar	VMSP3S0Y	central	S	0	P	3	S			0
actuïn	actuar	VMM03P0Y	central	M	0	0	3	P			pos
actuïn	actuar	VMSP3P0Y	central	S	0	P	3	P			0
actuïs	actuar	VMSP2S0Y	central	S	0	P	2	S			0
adequa	adequar	VMIP3S00	central	I	0	P	3	S			0
adequa	adequar	VMM02S00	central	M	0	0	2	S			pos
adequant	adequar	VMG00000	central	G	0	0	0	0			0
adequar	adequar	VMN00000	central	N	0	0	0	0			0
adequara	adequar	VMSI1S03	central	S	0	I	1	S			0
adequara	adequar	VMSI3S03	central	S	0	I	3	S			0
adequaran	adequar	VMIF3P00	central	I	0	F	3	P			0
adequarem	adequar	VMIF1P00	central	I	0	F	1	P			0
adequaren	adequar	VMSI3P03	central	S	0	I	3	P			0
adequares	adequar	VMSI2S03	central	S	0	I	2	S			0
adequareu	adequar	VMIF2P00	central	I	0	F	2	P			0
adequaria	adequar	VMIC1S00	central	I	0	C	1	S			0
adequaria	adequar	VMIC3S00	central	I	0	C	3	S			0
adequarien	adequar	VMIC3P00	central	I	0	C	3	P			0
adequaries	adequar	VMIC2S00	central	I	0	C	2	S			0
adequarà	adequar	VMIF3S00	central	I	0	F	3	S			0
adequaràs	adequar	VMIF2S00	central	I	0	F	2	S			0
adequaré	adequar	VMIF1S00	central	I	0	F	1	S			0
adequaríem	adequar	VMIC1P00	central	I	0	C	1	P			0
adequaríeu	adequar	VMIC2P00	central	I	0	C	2	P			0
adequassin	adequar	VMSI3P04	central	S	0	I	3	P			0
adequassis	adequar	VMSI2S04	central	S	0	I	2	S			0
adequat	adequar	VMP00SM0	central	P	M	0	0	S			0
adequava	adequar	VMII1S00	central	I	0	I	1	S			0
adequava	adequar	VMII3S00	central	I	0	I	3	S			0
adequaven	adequar	VMII3P00	central	I	0	I	3	P			0
adequaves	adequar	VMII2S00	central	I	0	I	2	S			0
adequo	adequar	VMIP1S0Y	central	I	0	P	1	S			0
adequàrem	adequar	VMSI1P03	central	S	0	I	1	P			0
adequàreu	adequar	VMSI2P03	central	S	0	I	2	P			0
adequàs	adequar	VMSI1S07	central	S	0	I	1	S			0
adequàs	adequar	VMSI3S07	central	S	0	I	3	S			0
adequàssim	adequar	VMSI1P04	central	S	0	I	1	P			0
adequàssiu	adequar	VMSI2P04	central	S	0	I	2	P			0
adequàvem	adequar	VMII1P00	central	I	0	I	1	P			0
adequàveu	adequar	VMII2P00	central	I	0	I	2	P			0
adeqüem	adequar	VMIP1P00	central	I	0	P	1	P			0
adeqüem	adequar	VMM01P00	central	M	0	0	1	P			pos
adeqüem	adequar	VMSP1P00	central	S	0	P	1	P			0
adeqüen	adequar	VMIP3P00	central	I	0	P	3	P			0
adeqües	adequar	VMIP2S00	central	I	0	P	2	S			0
adeqüessen	adequar	VMSI3P05	central	S	0	I	3	P			0
adeqüesses	adequar	VMSI2S05	central	S	0	I	2	S			0
adeqüessin	adequar	VMSI3P02	central	S	0	I	3	P			0
adeqüessis	adequar	VMSI2S02	central	S	0	I	2	S			0
adeqüeu	adequar	VMIP2P00	central	I	0	P	2	P			0
adeqüeu	adequar	VMM02P0X	central	M	0	0	2	P			pos
adeqüeu	adequar	VMSP2P00	central	S	0	P	2	P			0
adeqüi	adequar	VMM03S0Y	central	M	0	0	3	S			pos
adeqüi	adequar	VMSP1S0Y	central	S	0	P	1	S			0
adeqüi	adequar	VMSP3S0Y	central	S	0	P	3	S			0
adeqüin	adequar	VMM03P0Y	central	M	0	0	3	P			pos
adeqüin	adequar	VMSP3P0Y	central	S	0	P	3	P			0
adeqüis	adequar	VMSP2S0Y	central	S	0	P	2	S			0
adeqüés	adequar	VMSI1S01	central	S	0	I	1	S			0
adeqüés	adequar	VMSI3S01	central	S	0	I	3	S			0
adeqüéssem	adequar	VMSI1P05	central	S	0	I	1	P			0
adeqüésseu	adequar	VMSI2P05	central	S	0	I	2	P			0
adeqüéssim	adequar	VMSI1P02	central	S	0	I	1	P			0
adeqüéssiu	adequar	VMSI2P02	central	S	0	I	2	P			0
adquireix	adquirir	VMIP3S00	central	I	0	P	3	S			0
adquireix	adquirir	VMM02S00	central	M	0	0	2	S			pos
adquireixen	adquirir	VMIP3P00	central	I	0	P	3	P			0
adquireixes	adquirir	VMIP2S00	central	I	0	P	2	S			0
adquireixi	adquirir	VMM03S0Y	central	M	0	0	3	S			pos
adquireixi	adquirir	VMSP1S0Y	central	S	0	P	1	S			0
adquireixi	adquirir	VMSP3S0Y	central	S	0	P	3	S			0
adquireixin	adquirir	VMM03P0Y	central	M	0	0	3	P			pos
adquireixin	adquirir	VMSP3P0Y	central	S	0	P	3	P			0
adquireixis	adquirir	VMSP2S0Y	central	S	0	P	2	S			0
adquireixo	adquirir	VMIP1S0C	central	I	0	P	1	S			0
adquiresc	adquirir	VMIP1S0Z	central	I	0	P	1	S			0
adquiria	adquirir	VMII1S00	central	I	0	I	1	S			0
adquiria	adquirir	VMII3S00	central	I	0	I	3	S			0
adquirien	adquirir	VMII3P00	central	I	0	I	3	P			0
adquiries	adquirir	VMII2S00	central	I	0	I	2	S			0
adquirim	adquirir	VMIP1P00	central	I	0	P	1	P			0
adquirim	adquirir	VMM01P00	central	M	0	0	1	P			pos
adquirim	adquirir	VMSP1P00	central	S	0	P	1	P			0
adquirint	adquirir	VMG00000	central	G	0	0	0	0			0
adquirir	adquirir	VMN00000	central	N	0	0	0	0			0
adquirira	adquirir	VMSI1S03	central	S	0	I	1	S			0
adquirira	adquirir	VMSI3S03	central	S	0	I	3	S			0
adquiriran	adquirir	VMIF3P00	central	I	0	F	3	P			0
adquirirem	adquirir	VMIF1P00	central	I	0	F	1	P			0
adquiriren	adquirir	VMSI3P03	central	S	0	I	3	P			0
adquirires	adquirir	VMSI2S03	central	S	0	I	2	S			0
adquirireu	adquirir	VMIF2P00	central	I	0	F	2	P			0
adquiriria	adquirir	VMIC1S00	central	I	0	C	1	S			0
adquiriria	adquirir	VMIC3S00	central	I	0	C	3	S			0
adquiririen	adquirir	VMIC3P00	central	I	0	C	3	P			0
adquiriries	adquirir	VMIC2S00	central	I	0	C	2	S			0
adquirirà	adquirir	VMIF3S00	central	I	0	F	3	S			0
adquiriràs	adquirir	VMIF2S00	central	I	0	F	2	S			0
adquiriré	adquirir	VMIF1S00	central	I	0	F	1	S			0
adquiriríem	adquirir	VMIC1P00	central	I	0	C	1	P			0
adquiriríeu	adquirir	VMIC2P00	central	I	0	C	2	P			0
adquirissen	adquirir	VMSI3P05	central	S	0	I	3	P			0
adquirisses	adquirir	VMSI2S05	central	S	0	I	2	S			0
adquirissin	adquirir	VMSI3P02	central	S	0	I	3	P			0
adquirissis	adquirir	VMSI2S02	central	S	0	I	2	S			0
adquirit	adquirir	VMP00SM0	central	P	M	0	0	S			0
adquiriu	adquirir	VMIP2P00	central	I	0	P	2	P			0
adquiriu	adquirir	VMM02P00	central	M	0	0	2	P			pos
adquiriu	adquirir	VMSP2P00	central	S	0	P	2	P			0
adquiríem	adquirir	VMII1P00	central	I	0	I	1	P			0
adquiríeu	adquirir	VMII2P00	central	I	0	I	2	P			0
adquirírem	adquirir	VMSI1P03	central	S	0	I	1	P			0
adquiríreu	adquirir	VMSI2P03	central	S	0	I	2	P			0
adquirís	adquirir	VMSI1S01	central	S	0	I	1	S			0
adquirís	adquirir	VMSI3S01	central	S	0	I	3	S			0
adquiríssem	adquirir	VMSI1P05	central	S	0	I	1	P			0
adquirísseu	adquirir	VMSI2P05	central	S	0	I	2	P			0
adquiríssim	adquirir	VMSI1P02	central	S	0	I	1	P			0
adquiríssiu	adquirir	VMSI2P02	central	S	0	I	2	P			0
agafa	agafar	VMIP3S00	central	I	0	P	3	S			0
agafa	agafar	VMM02S00	central	M	0	0	2	S			pos
agafant	agafar	VMG00000	central	G	0	0	0	0			0
agafar	agafar	VMN00000	central	N	0	0	0	0			0
agafara	agafar	VMSI1S03	central	S	0	I	1	S			0
agafara	agafar	VMSI3S03	central	S	0	I	3	S			0
agafaran	agafar	VMIF3P00	central	I	0	F	3	P			0
agafarem	agafar	VMIF1P00	central	I	0	F	1	P			0
agafaren	agafar	VMSI3P03	central	S	0	I	3	P			0
agafares	agafar	VMSI2S03	central	S	0	I	2	S			0
agafareu	agafar	VMIF2P00	central	I	0	F	2	P			0
agafaria	agafar	VMIC1S00	central	I	0	C	1	S			0
agafaria	agafar	VMIC3S00	central	I	0	C	3	S			0
agafarien	agafar	VMIC3P00	central	I	0	C	3	P			0
agafaries	agafar	VMIC2S00	central	I	0	C	2	S			0
agafarà	agafar	VMIF3S00	central	I	0	F	3	S			0
agafaràs	agafar	VMIF2S00	central	I	0	F	2	S			0
agafaré	agafar	VMIF1S00	central	I	0	F	1	S			0
agafaríem	agafar	VMIC1P00	central	I	0	C	1	P			0
agafaríeu	agafar	VMIC2P00	central	I	0	C	2	P			0
agafassin	agafar	VMSI3P04	central	S	0	I	3	P			0
agafassis	agafar	VMSI2S04	central	S	0	I	2	S			0
agafat	agafar	VMP00SM0	central	P	M	0	0	S			0
agafava	agafar	VMII1S00	central	I	0	I	1	S			0
agafava	agafar	VMII3S00	central	I	0	I	3	S			0
agafaven	agafar	VMII3P00	central	I	0	I	3	P			0
agafaves	agafar	VMII2S00	central	I	0	I	2	S			0
agafem	agafar	VMIP1P00	central	I	0	P	1	P			0
agafem	agafar	VMM01P00	central	M	0	0	1	P			pos
agafem	agafar	VMSP1P00	central	S	0	P	1	P			0
agafen	agafar	VMIP3P00	central	I	0	P	3	P			0
agafes	agafar	VMIP2S00	central	I	0	P	2	S			0
agafessen	agafar	VMSI3P05	central	S	0	I	3	P			0
agafesses	agafar	VMSI2S05	central	S	0	I	2	S			0
agafessin	agafar	VMSI3P02	central	S	0	I	3	P			0
agafessis	agafar	VMSI2S02	central	S	0	I	2	S			0
agafeu	agafar	VMIP2P00	central	I	0	P	2	P			0
agafeu	agafar	VMM02P0X	central	M	0	0	2	P			pos
agafeu	agafar	VMSP2P00	central	S	0	P	2	P			0
agafi	agafar	VMM03S0Y	central	M	0	0	3	S			pos
agafi	agafar	VMSP1S0Y	central	S	0	P	1	S			0
agafi	agafar	VMSP3S0Y	central	S	0	P	3	S			0
agafin	agafar	VMM03P0Y	central	M	0	0	3	P			pos
agafin	agafar	VMSP3P0Y	central	S	0	P	3	P			0
agafis	agafar	VMSP2S0Y	central	S	0	P	2	S			0
agafo	agafar	VMIP1S0C	central	I	0	P	1	S			0
agafàrem	agafar	VMSI1P03	central	S	0	I	1	P			0
agafàreu	agafar	VMSI2P03	central	S	0	I	2	P			0
agafàs	agafar	VMSI1S07	central	S	0	I	1	S			0
agafàs	agafar	VMSI3S07	central	S	0	I	3	S			0
agafàssim	agafar	VMSI1P04	central	S	0	I	1	P			0
agafàssiu	agafar	VMSI2P04	central	S	0	I	2	P			0
agafàvem	agafar	VMII1P00	central	I	0	I	1	P			0
agafàveu	agafar	VMII2P00	central	I	0	I	2	P			0
agafés	agafar	VMSI1S01	central	S	0	I	1	S			0
agafés	agafar	VMSI3S01	central	S	0	I	3	S			0
agaféssem	agafar	VMSI1P05	central	S	0	I	1	P			0
agafésseu	agafar	VMSI2P05	central	S	0	I	2	P			0
agaféssim	agafar	VMSI1P02	central	S	0	I	1	P			0
agaféssiu	agafar	VMSI2P02	central	S	0	I	2	P			0
alcem	alçar	VMIP1P00	central	I	0	P	1	P			0
alcem	alçar	VMM01P00	central	M	0	0	1	P			pos
alcem	alçar	VMSP1P00	central	S	0	P	1	P			0
alcen	alçar	VMIP3P00	central	I	0	P	3	P			0
alces	alçar	VMIP2S00	central	I	0	P	2	S			0
alcessen	alçar	VMSI3P05	central	S	0	I	3	P			0
alcesses	alçar	VMSI2S05	central	S	0	I	2	S			0
alcessin	alçar	VMSI3P02	central	S	0	I	3	P			0
alcessis	alçar	VMSI2S02	central	S	0	I	2	S			0
alceu	alçar	VMIP2P00	central	I	0	P	2	P			0
alceu	alçar	VMM02P0X	central	M	0	0	2	P			pos
alceu	alçar	VMSP2P00	central	S	0	P	2	P			0
alci	alçar	VMM03S0Y	central	M	0	0	3	S			pos
alci	alçar	VMSP1S0Y	central	S	0	P	1	S			0
alci	alçar	VMSP3S0Y	central	S	0	P	3	S			0
alcin	alçar	VMM03P0Y	central	M	0	0	3	P			pos
alcin	alçar	VMSP3P0Y	central	S	0	P	3	P			0
alcis	alçar	VMSP2S0Y	central	S	0	P	2	S			0
alcés	alçar	VMSI1S01	central	S	0	I	1	S			0
alcés	alçar	VMSI3S01	central	S	0	I	3	S			0
alcéssem	alçar	VMSI1P05	central	S	0	I	1	P			0
alcésseu	alçar	VMSI2P05	central	S	0	I	2	P			0
alcéssim	alçar	VMSI1P02	central	S	0	I	1	P			0
alcéssiu	alçar	VMSI2P02	central	S	0	I	2	P			0
alça	alçar	VMIP3S00	central	I	0	P	3	S			0
alça	alçar	VMM02S00	central	M	0	0	2	S			pos
alçant	alçar	VMG00000	central	G	0	0	0	0			0
alçar	alçar	VMN00000	central	N	0	0	0	0			0
alçara	alçar	VMSI1S03	central	S	0	I	1	S			0
alçara	alçar	VMSI3S03	central	S	0	I	3	S			0
alçaran	alçar	VMIF3P00	central	I	0	F	3	P			0
alçarem	alçar	VMIF1P00	central	I	0	F	1	P			0
alçaren	alçar	VMSI3P03	central	S	0	I	3	P			0
alçares	alçar	VMSI2S03	central	S	0	I	2	S			0
alçareu	alçar	VMIF2P00	central	I	0	F	2	P			0
alçaria	alçar	VMIC1S00	central	I	0	C	1	S			0
alçaria	alçar	VMIC3S00	central	I	0	C	3	S			0
alçarien	alçar	VMIC3P00	central	I	0	C	3	P			0
alçaries	alçar	VMIC2S00	central	I	0	C	2	S			0
alçarà	alçar	VMIF3S00	central	I	0	F	3	S			0
alçaràs	alçar	VMIF2S00	central	I	0	F	2	S			0
alçaré	alçar	VMIF1S00	central	I	0	F	1	S			0
alçaríem	alçar	VMIC1P00	central	I	0	C	1	P			0
alçaríeu	alçar	VMIC2P00	central	I	0	C	2	P			0
alçassin	alçar	VMSI3P04	central	S	0	I	3	P			0
alçassis	alçar	VMSI2S04	central	S	0	I	2	S			0
alçat	alçar	VMP00SM0	central	P	M	0	0	S			0
alçava	alçar	VMII1S00	central	I	0	I	1	S			0
alçava	alçar	VMII3S00	central	I	0	I	3	S			0
alçaven	alçar	VMII3P00	central	I	0	I	3	P			0
alçaves	alçar	VMII2S00	central	I	0	I	2	S			0
alço	alçar	VMIP1S0C	central	I	0	P	1	S			0
alçàrem	alçar	VMSI1P03	central	S	0	I	1	P			0
alçàreu	alçar	VMSI2P03	central	S	0	I	2	P			0
alçàs	alçar	VMSI1S07	central	S	0	I	1	S			0
alçàs	alçar	VMSI3S07	central	S	0	I	3	S			0
alçàssim	alçar	VMSI1P04	central	S	0	I	1	P			0
alçàssiu	alçar	VMSI2P04	central	S	0	I	2	P			0
alçàvem	alçar	VMII1P00	central	I	0	I	1	P			0
alçàveu	alçar	VMII2P00	central	I	0	I	2	P			0
anant	anar	VMG00000	central	G	0	0	0	0			0
anar	anar	VMN00000	central	N	0	0	0	0			0
anara	anar	VMSI1S03	central	S	0	I	1	S			0
anara	anar	VMSI3S03	central	S	0	I	3	S			0
anaren	anar	VMSI3P03	central	S	0	I	3	P			0
anares	anar	VMSI2S03	central	S	0	I	2	S			0
anassin	anar	VMSI3P04	central	S	0	I	3	P			0
anassis	anar	VMSI2S04	central	S	0	I	2	S			0
anat	anar	VMP00SM0	central	P	M	0	0	S			0
anava	anar	VMII1S00	central	I	0	I	1	S			0
anava	anar	VMII3S00	central	I	0	I	3	S			0
anaven	anar	VMII3P00	central	I	0	I	3	P			0
anaves	anar	VMII2S00	central	I	0	I	2	S			0
anem	anar	VMIP1P00	central	I	0	P	1	P			0
anem	anar	VMM01P00	central	M	0	0	1	P			pos
anem	anar	VMSP1P00	central	S	0	P	1	P			0
anessen	anar	VMSI3P05	central	S	0	I	3	P			0
anesses	anar	VMSI2S05	central	S	0	I	2	S			0
anessin	anar	VMSI3P02	central	S	0	I	3	P			0
anessis	anar	VMSI2S02	central	S	0	I	2	S			0
aneu	anar	VMIP2P00	central	I	0	P	2	P			0
aneu	anar	VMM02P0X	central	M	0	0	2	P			pos
aneu	anar	VMSP2P00	central	S	0	P	2	P			0
aniran	anar	VMIF3P00	central	I	0	F	3	P			0
anirem	anar	VMIF1P00	central	I	0	F	1	P			0
anireu	anar	VMIF2P00	central	I	0	F	2	P			0
aniria	anar	VMIC1S00	central	I	0	C	1	S			0
aniria	anar	VMIC3S00	central	I	0	C	3	S			0
anirien	anar	VMIC3P00	central	I	0	C	3	P			0
aniries	anar	VMIC2S00	central	I	0	C	2	S			0
anirà	anar	VMIF3S00	central	I	0	F	3	S			0
aniràs	anar	VMIF2S00	central	I	0	F	2	S			0
aniré	anar	VMIF1S00	central	I	0	F	1	S			0
aniríem	anar	VMIC1P00	central	I	0	C	1	P			0
aniríeu	anar	VMIC2P00	central	I	0	C	2	P			0
anàrem	anar	VMSI1P03	central	S	0	I	1	P			0
anàreu	anar	VMSI2P03	central	S	0	I	2	P			0
anàs	anar	VMSI1S07	central	S	0	I	1	S			0
anàs	anar	VMSI3S07	central	S	0	I	3	S			0
anàssim	anar	VMSI1P04	central	S	0	I	1	P			0
anàssiu	anar	VMSI2P04	central	S	0	I	2	P			0
anàvem	anar	VMII1P00	central	I	0	I	1	P			0
anàveu	anar	VMII2P00	central	I	0	I	2	P			0
anés	anar	VMSI1S01	central	S	0	I	1	S			0
anés	anar	VMSI3S01	central	S	0	I	3	S			0
anéssem	anar	VMSI1P05	central	S	0	I	1	P			0
anésseu	anar	VMSI2P05	central	S	0	I	2	P			0
anéssim	anar	VMSI1P02	central	S	0	I	1	P			0
anéssiu	anar	VMSI2P02	central	S	0	I	2	P			0
aïlla	aïllar	VMIP3S00	central	I	0	P	3	S			0
aïlla	aïllar	VMM02S00	central	M	0	0	2	S			pos
aïllant	aïllar	VMG00000	central	G	0	0	0	0			0
aïllar	aïllar	VMN00000	central	N	0	0	0	0			0
aïllara	aïllar	VMSI1S03	central	S	0	I	1	S			0
aïllara	aïllar	VMSI3S03	central	S	0	I	3	S			0
aïllaran	aïllar	VMIF3P00	central	I	0	F	3	P			0
aïllarem	aïllar	VMIF1P00	central	I	0	F	1	P			0
aïllaren	aïllar	VMSI3P03	central	S	0	I	3	P			0
aïllares	aïllar	VMSI2S03	central	S	0	I	2	S			0
aïllareu	aïllar	VMIF2P00	central	I	0	F	2	P			0
aïllaria	aïllar	VMIC1S00	central	I	0	C	1	S			0
aïllaria	aïllar	VMIC3S00	central	I	0	C	3	S			0
aïllarien	aïllar	VMIC3P00	central	I	0	C	3	P			0
aïllaries	aïllar	VMIC2S00	central	I	0	C	2	S			0
aïllarà	aïllar	VMIF3S00	central	I	0	F	3	S			0
aïllaràs	aïllar	VMIF2S00	central	I	0	F	2	S			0
aïllaré	aïllar	VMIF1S00	central	I	0	F	1	S			0
aïllaríem	aïllar	VMIC1P00	central	I	0	C	1	P			0
aïllaríeu	aïllar	VMIC2P00	central	I	0	C	2	P			0
aïllassin	aïllar	VMSI3P04	central	S	0	I	3	P			0
aïllassis	aïllar	VMSI2S04	central	S	0	I	2	S			0
aïllat	aïllar	VMP00SM0	central	P	M	0	0	S			0
aïllava	aïllar	VMII1S00	central	I	0	I	1	S			0
aïllava	aïllar	VMII3S00	central	I	0	I	3	S			0
aïllaven	aïllar	VMII3P00	central	I	0	I	3	P			0
aïllaves	aïllar	VMII2S00	central	I	0	I	2	S			0
aïllem	aïllar	VMIP1P00	central	I	0	P	1	P			0
aïllem	aïllar	VMM01P00	central	M	0	0	1	P			pos
aïllem	aïllar	VMSP1P00	central	S	0	P	1	P			0
aïllen	aïllar	VMIP3P00	central	I	0	P	3	P			0
aïlles	aïllar	VMIP2S00	central	I	0	P	2	S			0
aïllessen	aïllar	VMSI3P05	central	S	0	I	3	P			0
aïllesses	aïllar	VMSI2S05	central	S	0	I	2	S			0
aïllessin	aïllar	VMSI3P02	central	S	0	I	3	P			0
aïllessis	aïllar	VMSI2S02	central	S	0	I	2	S			0
aïlleu	aïllar	VMIP2P00	central	I	0	P	2	P			0
aïlleu	aïllar	VMM02P0X	central	M	0	0	2	P			pos
aïlleu	aïllar	VMSP2P00	central	S	0	P	2	P			0
aïlli	aïllar	VMM03S0Y	central	M	0	0	3	S			pos
aïlli	aïllar	VMSP1S0Y	central	S	0	P	1	S			0
aïlli	aïllar	VMSP3S0Y	central	S	0	P	3	S			0
aïllin	aïllar	VMM03P0Y	central	M	0	0	3	P			pos
aïllin	aïllar	VMSP3P0Y	central	S	0	P	3	P			0
aïllis	aïllar	VMSP2S0Y	central	S	0	P	2	S			0
aïllo	aïllar	VMIP1S0C	central	I	0	P	1	S			0
aïllàrem	aïllar	VMSI1P03	central	S	0	I	1	P			0
aïllàreu	aïllar	VMSI2P03	central	S	0	I	2	P			0
aïllàs	aïllar	VMSI1S07	central	S	0	I	1	S			0
aïllàs	aïllar	VMSI3S07	central	S	0	I	3	S			0
aïllàssim	aïllar	VMSI1P04	central	S	0	I	1	P			0
aïllàssiu	aïllar	VMSI2P04	central	S	0	I	2	P			0
aïllàvem	aïllar	VMII1P00	central	I	0	I	1	P			0
aïllàveu	aïllar	VMII2P00	central	I	0	I	2	P			0
aïllés	aïllar	VMSI1S01	central	S	0	I	1	S			0
aïllés	aïllar	VMSI3S01	central	S	0	I	3	S			0
aïlléssem	aïllar	VMSI1P05	central	S	0	I	1	P			0
aïllésseu	aïllar	VMSI2P05	central	S	0	I	2	P			0
aïlléssim	aïllar	VMSI1P02	central	S	0	I	1	P			0
aïlléssiu	aïllar	VMSI2P02	central	S	0	I	2	P			0
beneeix	beneir	VMIP3S00	central	I	0	P	3	S			0
beneeix	beneir	VMM02S00	central	M	0	0	2	S			pos
beneeixen	beneir	VMIP3P00	central	I	0	P	3	P			0
beneeixes	beneir	VMIP2S00	central	I	0	P	2	S			0
beneeixi	beneir	VMM03S0Y	central	M	0	0	3	S			pos
beneeixi	beneir	VMSP1S0Y	central	S	0	P	1	S			0
beneeixi	beneir	VMSP3S0Y	central	S	0	P	3	S			0
beneeixin	beneir	VMM03P0Y	central	M	0	0	3	P			pos
beneeixin	beneir	VMSP3P0Y	central	S	0	P	3	P			0
beneeixis	beneir	VMSP2S0Y	central	S	0	P	2	S			0
beneeixo	beneir	VMIP1S0C	central	I	0	P	1	S			0
beneesc	beneir	VMIP1S0Z	central	I	0	P	1	S			0
beneint	beneir	VMG00000	central	G	0	0	0	0			0
beneir	beneir	VMN00000	central	N	0	0	0	0			0
beneiran	beneir	VMIF3P00	central	I	0	F	3	P			0
beneirem	beneir	VMIF1P00	central	I	0	F	1	P			0
beneireu	beneir	VMIF2P00	central	I	0	F	2	P			0
beneiria	beneir	VMIC1S00	central	I	0	C	1	S			0
beneiria	beneir	VMIC3S00	central	I	0	C	3	S			0
beneirien	beneir	VMIC3P00	central	I	0	C	3	P			0
beneiries	beneir	VMIC2S00	central	I	0	C	2	S			0
beneirà	beneir	VMIF3S00	central	I	0	F	3	S			0
beneiràs	beneir	VMIF2S00	central	I	0	F	2	S			0
beneiré	beneir	VMIF1S00	central	I	0	F	1	S			0
beneiríem	beneir	VMIC1P00	central	I	0	C	1	P			0
beneiríeu	beneir	VMIC2P00	central	I	0	C	2	P			0
beneíem	beneir	VMII1P00	central	I	0	I	1	P			0
beneíeu	beneir	VMII2P00	central	I	0	I	2	P			0
beneírem	beneir	VMSI1P03	central	S	0	I	1	P			0
beneíreu	beneir	VMSI2P03	central	S	0	I	2	P			0
beneís	beneir	VMSI1S01	central	S	0	I	1	S			0
beneís	beneir	VMSI3S01	central	S	0	I	3	S			0
beneíssem	beneir	VMSI1P05	central	S	0	I	1	P			0
beneísseu	beneir	VMSI2P05	central	S	0	I	2	P			0
beneíssim	beneir	VMSI1P02	central	S	0	I	1	P			0
beneíssiu	beneir	VMSI2P02	central	S	0	I	2	P			0
beneïa	beneir	VMII1S00	central	I	0	I	1	S			0
beneïa	beneir	VMII3S00	central	I	0	I	3	S			0
beneïen	beneir	VMII3P00	central	I	0	I	3	P			0
beneïes	beneir	VMII2S00	central	I	0	I	2	S			0
