spanish	catalan
Mientras estoy estudiando	A mesura que estic estudiant
Hugo ha	Hugo ha
Ahora mismo	Ara mateix
"En esa época, a menudo,"	"En aquella època, sovint,"
En aquel momento	En aquell moment
En el futuro	En el futur
Resulta divertido que	Resulta divertit que
Fue sorprendente que	Va ser sorprenent que
