|id|guid|mid|mod|usn|flds|csum|flags|data|sfld|tags|uuid
36|1599309962990|i^+GT!45OC|1596992551063|1599309962|0||1127687963|0||〰 Resulta divertit que 〰nosaltres {{c1::siguem::…ser…}} (conscients d'això)| present subjuntiu -er nosaltres ser |132ba7f3-10e7-46ca-b238-c79a93b45abe〰
37|1599309962991|vlpQokg.T:|1596992551063|1599309962|0||3789951668|0||〰 Resulta divertit que 〰vosaltres {{c1::sigueu::…ser…}} (conscients d'això)| present subjuntiu -er vosaltres ser |d18acad4-ac4c-4a3b-a34a-ab48bf621bf5〰
38|1599309962992|m8-*`C8eYK|1596992551063|1599309962|0||3858721280|0||〰 Resulta divertit que 〰ells/elles/vostès {{c1::siguin::…ser…}} (conscients d'això)| present subjuntiu -er ells/elles/vostès ser |7b49d715-2769-4e64-87c1-51e298ff70a9〰
39|1599309962993|v~uMK9QFMG|1596992551063|1599309962|0||1358270404|0||↫ Va ser sorprenent que ↫jo {{c1::fos::…ser…}} (conscient d'això)| imperfet subjuntiu -er jo ser |43f0b36b-a406-40b5-9b28-922f525d2e61↫
40|1599309962994|k*!)c3}`*U|1596992551063|1599309962|0||2711035803|0||| imperfet subjuntiu -er ser |88ecf418-4f44-4b50-be58-22abade8c61a↫
41|1599309962995|bXs;4&9/x8|1596992551063|1599309962|0||2364074970|0||↫ Va ser sorprenent que ↫ell/ella/vostè {{c1::fos::…ser…}} (conscient d'això)| imperfet subjuntiu -er ell/ella/vostè ser |574ed3c6-8726-4594-9c54-4ebbc0ab8cf2↫
42|1599309962996|Oc6e`[Xxd;|1596992551063|1599309962|0||2463340068|0||↫ Va ser sorprenent que ↫nosaltres {{c1::fóssim::…ser…}} (conscients d'això)| imperfet subjuntiu -er nosaltres ser |92fe2073-3003-4f1b-8c57-acd072e57e7f↫
43|1599309962997|le!7Z-Il(d|1596992551063|1599309962|0||2647711159|0||↫ Va ser sorprenent que ↫vosaltres {{c1::fóssiu::…ser…}} (conscients d'això)| imperfet subjuntiu -er vosaltres ser |b42c5d9f-a212-40c8-8130-00e06867bf65↫
44|1599309962998|"Bxa|mk9yyW"|1596992551063|1599309962|0||2221380303|0||↫ Va ser sorprenent que ↫ells/elles/vostès {{c1::fossin::…ser…}} (conscients d'això)| imperfet subjuntiu -er ells/elles/vostès ser |fe058598-b320-4dda-8964-b824db6f40b7↫
45|1599309962999|MV_D]G.~5Z|1596992551063|1599309962|0||2931863718|0||| imperatiu -er ser |4fd09037-b354-44da-be7e-afd1c1c1e2a3Hombre,
46|1599309963000|vsM>mA[C^3|1596992551063|1599309962|0||2390737455|0||| imperatiu -er ser |def5c9f8-bdb8-4a5b-ae8c-e1677f2c5fcdMujer,
47|1599309963001|x03szbM`Nh|1596992551063|1599309962|0||1470592761|0||Senjora, si us plau,  (que) {{c1::sigui::…ser…}} (conscient d'això), ja !(ell/ella/vostè)| imperatiu -er ell/ella/vostè ser |a37a3683-97c0-4346-b210-7a6d6cd172c7Señora,
48|1599309963002|"g&;6_|`B&`"|1596992551063|1599309962|0||3624190174|0||Vosaltres equip, si us plau,  (que) {{c1::siguem::…ser…}} (conscients), ja !(nosaltres)| imperatiu -er nosaltres ser |11833d41-8168-47ca-a407-0cd9ee92c65eVámonos
49|1599309963003|dSdT/_VudJ|1596992551063|1599309962|0||3008380278|0||Tu i tu, si us plau,  {{c1::sigueu::…ser…}} (conscients), ja !(vosaltres)| imperatiu -er vosaltres ser |5a89c9bb-2e58-44ce-9df4-d1fccfbe9379Tú
50|1599309963004|hdW!q*ctrn|1596992551063|1599309962|0||1562486969|0||Senjors, si us plau,  (que) {{c1::siguin::…ser…}} (conscients), ja ! (ells/elles/vostès)| imperatiu -er ells/elles/vostès ser |0f717bb2-5fc9-4524-b898-550309603cb8Señores,
51|1599309963012|x+!EXSI1Xd|1596992551063|1599310148|0||3163643322|0||| gerundi -er haver |788614a7-bc99-4113-972b-5a805d3415f1Mientras
52|1599309963013|JUFFa</g~F|1596992551063|1599309962|0||99218184|0||| participi -er haver |151d07dc-9ffc-4eee-959e-3ca58e2a062dHugo
53|1599309963014|oj-<#u>G-x|1596992551063|1599309962|0||3202743568|0||| present indicatiu -er jo haver |91cb905a-1500-4dd6-a48c-b0c8fbd234a0⊙
54|1599309963015|"y|/?9c1S27"|1596992551063|1599309962|0||3056158887|0||| present indicatiu -er haver |a9e6c225-9382-42f1-bb2a-fbbe833c4528⊙
55|1599309963016|G)Pc*vHW?B|1596992551063|1599309962|0||1585523978|0||| present indicatiu -er ell/ella/vostè haver |32b899cc-fba9-4e20-95c4-9c40bcdf1727⊙
56|1599309963018|h?*f;m>@lk|1596992551063|1599309962|0||1508426596|0||| present indicatiu -er nosaltres haver |911ffdf9-be70-4a49-a038-c44546389fc0⊙
57|1599309963019|P$Q(oua~qs|1596992551063|1599309962|0||1738925728|0||| present indicatiu -er vosaltres haver |07c5a5b4-ddc9-4e2f-ad46-b16cce728c4e⊙
58|1599309963020|xRE?2&G/LZ|1596992551063|1599309962|0||1883326887|0||| present indicatiu -er ells/elles/vostès haver |1b5a982e-e189-4e08-b8f9-3b3cf863909d⊙
59|1599309963021|j}%uvg=E}W|1596992551063|1599467487|7221||2339672553|0||| imperfet indicatiu -er jo haver |2d018f73-ac41-4bd5-84d6-f8c7ba4d9d81⇠
60|1599309963022|A6YOlGzWls|1596992551063|1599467487|7221||382475933|0||| imperfet indicatiu -er haver |e1dd0b64-46b3-4370-b6f6-a89ddcc27e39⇠
61|1599309963023|"h2_m`Vq|.^"|1596992551063|1599467487|7221||860763880|0||| imperfet indicatiu -er ell/ella/vostè haver |01f7f7e5-f40c-4152-bf51-87241f664e50⇠
62|1599309963024|NAF^h64*DX|1596992551063|1599467487|7221||479035589|0||| imperfet indicatiu -er nosaltres haver |6399c744-9dd8-4f72-a3d6-906d8fb452a5⇠
63|1599309963025|eYY*7ITF(H|1596992551063|1599467487|7221||1005825894|0||| imperfet indicatiu -er vosaltres haver |64e64b80-9e09-4dab-bc18-726ee79a4813⇠
64|1599309963026|bR)6MfW%w?|1596992551063|1599467487|7221||2802828582|0||| imperfet indicatiu -er ells/elles/vostès haver |0d5a0f92-f0d1-48bc-bf2e-07bfb0ad33ec⇠
65|1599309963027|E->!.xkBg1|1596992551063|1600432083|7322||3950864814|0||| passat_perifrastic indicatiu -er jo haver |91912394-0cf8-4bd8-89ab-14b617b88209↧
66|1599309963028|htI?O-m;o&|1596992551063|1600432083|7322||2213559934|0||| passat_perifrastic indicatiu -er haver |92ddbaba-90a8-477d-b0be-fc97ed954456↧
67|1599309963029|P<i[l/Uvd?|1596992551063|1600432083|7322||3930158170|0||| passat_perifrastic indicatiu -er ell/ella/vostè haver |a3d23f56-ea34-4197-9ab3-4eb47d6faab6↧
68|1599309963030|Q2+,zxko@P|1596992551063|1600432083|7322||2394424685|0||| passat_perifrastic indicatiu -er nosaltres haver |09222342-53f3-4a02-a9b7-5c5cd72fc6c3↧
69|1599309963031|CqFk>5_Jm]|1596992551063|1600432083|7322||232663936|0||| passat_perifrastic indicatiu -er vosaltres haver |b0f9bdbe-90a3-435d-83d9-fb2b95457c64↧
70|1599309963032|"e;`f?|UB<^"|1596992551063|1600432083|7322||2441072716|0||| passat_perifrastic indicatiu -er ells/elles/vostès haver |24aa7ed6-cb79-4406-9f84-e6c4c3bb9c07↧
71|1599309963033|Q=_pY}`/^]|1596992551063|1599309962|0||933452999|0||| futur indicatiu -er jo haver |83531b3f-be08-4747-8e23-274691179d5b→
72|1599309963034|t[hVq=Z^3q|1596992551063|1599309962|0||1011293927|0||| futur indicatiu -er haver |d3c9cae1-1427-4e0e-9b33-38b32dd3be7b→
73|1599309963035|s_$O7%tGzw|1596992551063|1599309962|0||2053020875|0||| futur indicatiu -er ell/ella/vostè haver |b37a6d43-e58c-45f2-acb7-314c8cd3047e→
74|1599309963036|lF529,9gaW|1596992551063|1599309962|0||4110240800|0||| futur indicatiu -er nosaltres haver |541680bc-fc0b-4531-ae4a-3d75cbfbf06b→
75|1599309963037|QUw(QVy8th|1596992551063|1599309962|0||3646148584|0||| futur indicatiu -er vosaltres haver |081c8402-30ff-4f5a-af82-8f72286e4a4f→
76|1599309963038|D0{&icehZw|1596992551063|1599309962|0||1921857784|0||| futur indicatiu -er ells/elles/vostès haver |967288db-c3c9-4319-8a8c-08fe22b2716f→
77|1599309963039|"J[oH5[o}h|"|1596992551063|1599309962|0||2990416309|0||| condicional indicatiu -er jo haver |62f34b14-668d-42d7-bf16-3995d2f01392…
78|1599309963040|CDJpev`t./|1596992551063|1599309962|0||3201116257|0||| condicional indicatiu -er haver |ad3c51b8-6e4a-4df1-a2c9-d8d3c043b5e2…
79|1599309963041|Aj`)hwAxz{|1596992551063|1599309962|0||881926553|0||| condicional indicatiu -er ell/ella/vostè haver |2ee17fc3-54cf-48f0-9f34-6d692255e27f…
80|1599309963042|h+fcqtHrM+|1596992551063|1599309962|0||3081091335|0||| condicional indicatiu -er nosaltres haver |1edd2216-374e-42cb-ba63-620cad82a8c2…
81|1599309963043|Ha4v4`^<y^|1596992551063|1599309962|0||3846899112|0||| condicional indicatiu -er vosaltres haver |485f65e4-d0ba-41ee-a491-ef3bb2392760…
82|1599309963044|y6JEZAvE7O|1596992551063|1599309962|0||1783744120|0||| condicional indicatiu -er ells/elles/vostès haver |091118bf-8a6e-40f6-a9b7-d622513b87af…
83|1599309963045|dJPp<LQ,)&|1596992551063|1599309962|0||1405177885|0||| present subjuntiu -er jo haver |985a40aa-9861-4592-84e8-5fcf8e147b08〰
84|1599309963046|IvFp^!wpU?|1596992551063|1599309962|0||245763461|0||| present subjuntiu -er haver |83c84c3a-56e1-407e-ba5d-9aaf3d4e4687〰
85|1599309963047|"zHtju|8jYi"|1596992551063|1599309962|0||2238596068|0||| present subjuntiu -er ell/ella/vostè haver |91f1777d-bd34-432e-81e1-f8064b58b115〰
86|1599309963048|P],Z^gmFFF|1596992551063|1599309962|0||15478877|0||| present subjuntiu -er nosaltres haver |082521f4-2626-4d38-939f-2c183a0a94de〰
87|1599309963049|hY!m,,3Uap|1596992551063|1599309962|0||844404335|0||| present subjuntiu -er vosaltres haver |109931f6-dc33-44cf-b681-4fcfa2addcc7〰
88|1599309963050|"eOTas!p|Da"|1596992551063|1599309962|0||1509530545|0||| present subjuntiu -er ells/elles/vostès haver |27c91323-73af-4eff-b1d3-451a1a2bccb7〰
89|1599309963051|G%vlH<J$VN|1596992551063|1599309962|0||1189950771|0||| imperfet subjuntiu -er jo haver |201c34ca-afc0-4395-99ec-4f201b7b9c6d↫
90|1599309963052|v<EgI%6S8}|1596992551063|1599309962|0||1798044927|0||| imperfet subjuntiu -er haver |2158572d-7b01-468a-a23a-8d8a93d99e33↫
91|1599309963053|"i?$.bs]T%|"|1596992551063|1599309962|0||4241669254|0||| imperfet subjuntiu -er ell/ella/vostè haver |458a51c7-3f4a-4e60-9afd-2bccc8754d30↫
92|1599309963054|m<JS4Ux>vG|1596992551063|1599309962|0||256963117|0||| imperfet subjuntiu -er nosaltres haver |6af00923-9665-4cc4-89e6-008fcd1b4269↫
93|1599309963055|y%y^$~1s$3|1596992551063|1599309962|0||2805368588|0||| imperfet subjuntiu -er vosaltres haver |da65131c-a417-4b3a-8caf-84fc01f8c829↫
94|1599309963056|t@?duF_qdO|1596992551063|1599309962|0||3240815334|0||| imperfet subjuntiu -er ells/elles/vostès haver |d60a9046-f83b-488e-ba9c-fbb4855daebc↫
95|1599309963057|h-)h*-X!3g|1596992551063|1599309962|0||2704051811|0||| imperatiu -er haver |231ccdd0-7033-4bfe-a9e6-0faee80f0410Hombre,
96|1599309963058|J%0B?Lk[#L|1596992551063|1599309962|0||1973466537|0||| imperatiu -er haver |2e9a6c9b-467a-4c74-9334-b9b18cb862aeMujer,
97|1599309963059|E8hC8f2;dS|1596992551063|1599309962|0||1429707061|0||| imperatiu -er ell/ella/vostè haver |25dec98b-b008-4bf6-9089-0798ba9bdbf3Señora,
98|1599309963060|G;YaI7rW*(|1596992551063|1599309962|0||455883331|0||| imperatiu -er nosaltres haver |1b414889-5ffd-48d8-80ad-10ac7172e555Vámonos
99|1599309963061|O:CDH-vOP&|1596992551063|1599309962|0||571160570|0||| imperatiu -er vosaltres haver |6d24be57-9154-414e-bf07-6c02e721d428Tú
100|1599309963062|r<l%uZ{&/|1596992551063|1599309962|0||321089211|0||| imperatiu -er ells/elles/vostès haver |0fd901bd-bd46-474b-857b-969275293489Señores,
101|1599309963070|BTb-=I8nF&|1596992551063|1599310148|0||2452224794|0||A mesura que estic estudiant…ella està {{c1::estant::…estar…}} (parada)| gerundi -ar estar |a2398709-bc9a-4f42-8392-f5dee4a49007Mientras
102|1599309963071|"jL=[V|HL@^"|1596992551063|1599309962|0||800295160|0||Hugo ha {{c1::estat::…estar…}} (a Cadis)| participi -ar estar |abed3729-34e6-4fd5-8547-7e463c9bfa83Hugo
103|1599309963072|Ho4q[QyuVM|1596992551063|1599309962|0||1314158020|0||⊙ Ara mateix, ⊙jo {{c1::estic::…estar…}} (a Cadis)| present indicatiu -ar jo estar |990d5ee5-1fcb-4f0d-a489-0c6fc5a4ab8c⊙
104|1599309963073|y5$HcUehM+|1596992551063|1599309962|0||147630999|0||| present indicatiu -ar estar |73aae212-5306-4844-a910-335ca2f0e593⊙
105|1599309963074|H5XLfpVfT,|1596992551063|1599309962|0||1582771480|0||⊙ Ara mateix, ⊙ell/ella/vostè {{c1::està::…estar…}} (a Cadis)| present indicatiu -ar ell/ella/vostè estar |ac9f6ab1-5d58-405c-9e60-3195b35f436e⊙
106|1599309963075|eXJd?zpS!%|1596992551063|1599309962|0||1296388802|0||⊙ Ara mateix, ⊙nosaltres {{c1::estem::…estar…}} (a Cadis)| present indicatiu -ar nosaltres estar |27c709db-14c3-42fa-8a5b-3ea67575c7ae⊙
107|1599309963076|ty~yN^/Nxw|1596992551063|1599309962|0||556662367|0||⊙ Ara mateix, ⊙vosaltres {{c1::esteu::…estar…}} (a Cadis)| present indicatiu -ar vosaltres estar |cd7c6495-ec42-47fe-8e61-94093578e503⊙
108|1599309963077|o`UeD4NP=s|1596992551063|1599309962|0||2012431412|0||⊙ Ara mateix, ⊙ells/elles/vostès {{c1::estan::…estar…}} (a Cadis)| present indicatiu -ar ells/elles/vostès estar |e69d243e-81ec-4c61-b662-ed7d542be9bc⊙
109|1599309963078|E2VE8Nh]vY|1596992551063|1599467487|7221||1416032723|0||⇠ En aquella època, sovint, ⇠jo {{c1::estava::…estar…}} (a Cadis)| imperfet indicatiu -ar jo estar |6e47dc6f-a4e8-4557-9447-e1ce41aaadd4⇠
110|1599309963079|E@_J2DAnmO|1596992551063|1599467487|7221||4291543149|0||| imperfet indicatiu -ar estar |2e2fb6cc-3fcb-492d-a7e8-8752acc90b14⇠
111|1599309963080|z%bUbFQ+TO|1596992551063|1599467487|7221||3864090869|0||⇠ En aquella època, sovint, ⇠ell/ella/vostè {{c1::estava::…estar…}} (a Cadis)| imperfet indicatiu -ar ell/ella/vostè estar |8be8e568-c5a8-4945-80f5-545ed9a129de⇠
112|1599309963081|J/q0Ao!.j;|1596992551063|1599467487|7221||4156893573|0||⇠ En aquella època, sovint, ⇠nosaltres {{c1::estàvem::…estar…}} (a Cadis)| imperfet indicatiu -ar nosaltres estar |35b94c28-ef99-4e9e-8aa9-a9d6fecb2535⇠
113|1599309963082|sN8^-107S9|1596992551063|1599467487|7221||3281764527|0||⇠ En aquella època, sovint, ⇠vosaltres {{c1::estàveu::…estar…}} (a Cadis)| imperfet indicatiu -ar vosaltres estar |a573a023-88f1-4138-8483-d1e0b27b3f38⇠
114|1599309963083|xKt^Sw_nQD|1596992551063|1599467487|7221||1574512897|0||⇠ En aquella època, sovint, ⇠ells/elles/vostès {{c1::estaven::…estar…}} (a Cadis)| imperfet indicatiu -ar ells/elles/vostès estar |3ca3939f-dc3a-4c4a-abf8-d2259ef35eb4⇠
115|1599309963084|"]3#ic|Xys"|1596992551063|1600432083|7322||2837203538|0||↧ En aquell moment ↧jo {{c1::vaig estar::…estar…}} (segur/a)| passat_perifrastic indicatiu -ar jo estar |8dc76254-88c7-42b4-aa84-86ee398b91d0↧
116|1599309963085|PFcq?[HTK[|1596992551063|1600432083|7322||2299457843|0||| passat_perifrastic indicatiu -ar estar |b4fad583-aca8-4522-a8d4-4aaa3dd7c430↧
117|1599309963086|QoC<3u,H1c|1596992551063|1600432083|7322||3147905685|0||↧ En aquell moment ↧ell/ella/vostè {{c1::va estar::…estar…}} (segur/a)| passat_perifrastic indicatiu -ar ell/ella/vostè estar |e9dd0ff9-0a10-47af-91d7-74d77918458c↧
118|1599309963087|d!KjU!n%Wg|1596992551063|1600432083|7322||2871567807|0||↧ En aquell moment ↧nosaltres {{c1::vam estar::…estar…}} (segurs/es)| passat_perifrastic indicatiu -ar nosaltres estar |2d0ec233-dbaa-4d70-abcf-cdcacc7069f1↧
119|1599309963088|sfv#crdZ@y|1596992551063|1600432083|7322||1569105261|0||↧ En aquell moment ↧vosaltres {{c1::vau estar::…estar…}} (segurs/es)| passat_perifrastic indicatiu -ar vosaltres estar |d82c6db7-dfee-4ff9-bb18-641797b8d9b2↧
120|1599309963089|dD-E[_etfd|1596992551063|1600432083|7322||2640485973|0||↧ En aquell moment ↧ells/elles/vostès {{c1::van estar::…estar…}} (segurs/es)| passat_perifrastic indicatiu -ar ells/elles/vostès estar |c8693ff5-d26b-4542-b0dd-ebe1d4a25778↧
121|1599309963090|"z;F-/NTgu|"|1596992551063|1599309962|0||1803844975|0||→ En el futur, →jo {{c1::estaré::…estar…}} (a Cadis)| futur indicatiu -ar jo estar |1c3303f9-bee4-461e-8d88-e8520f17e219→
122|1599309963091|PBy)??OySi|1596992551063|1599309962|0||667427607|0||| futur indicatiu -ar estar |cd41b52e-8d2b-4298-a619-6124165300b9→
123|1599309963092|"LeB|^A}([d"|1596992551063|1599309962|0||1272273676|0||→ En el futur, →ell/ella/vostè {{c1::estarà::…estar…}} (a Cadis)| futur indicatiu -ar ell/ella/vostè estar |68dd5069-0588-46d2-8894-dbb825286c13→
124|1599309963093|kCZ)F/mTs}|1596992551063|1599309962|0||2751117425|0||→ En el futur, →nosaltres {{c1::estarem::…estar…}} (a Cadis)| futur indicatiu -ar nosaltres estar |11db4bb5-0bd3-4e4d-b6b1-89f7df360b6e→
125|1599309963094|iS>i;!t;B2|1596992551063|1599309962|0||3723852644|0||→ En el futur, →vosaltres {{c1::estareu::…estar…}} (a Cadis)| futur indicatiu -ar vosaltres estar |04b2b947-dc85-4de4-9378-9d24816022c9→
126|1599309963095|iLh!KQo}F5|1596992551063|1599309962|0||1994315097|0||→ En el futur, →ells/elles/vostès {{c1::estaran::…estar…}} (a Cadis)| futur indicatiu -ar ells/elles/vostès estar |9b203577-7eb0-4b28-a5a7-c785dce53b6c→
